Alpha,SA7035_without_flap, , Alpha,SA7035_-10_flap, , Alpha,SA7035_-20_flap, , Alpha,SA7035_10_flap, , Alpha,SA7035_-10_flap, , 
         -0.5,     0.2865923, ,          -0.5,    -0.2852219, ,          -0.7,    -0.7987788, ,          -0.5,     0.6464995, ,          -0.8,     0.8902608, , 
         -0.4,     0.2963034, ,          -0.4,    -0.2748314, ,          -0.6,    -0.7925487, ,          -0.4,     0.6656746, ,          -0.7,     0.9085606, , 
         -0.3,     0.3065995, ,          -0.3,    -0.2644664, ,          -0.5,    -0.7861844, ,          -0.3,     0.6844223, ,          -0.6,      0.927621, , 
         -0.2,     0.3149285, ,          -0.2,    -0.2541205, ,          -0.4,     -0.779505, ,          -0.1,     0.6942817, ,          -0.5,     0.9475217, , 
         -0.1,      0.323694, ,          -0.1,    -0.2438824, ,          -0.3,    -0.7712775, ,             0,     0.7096912, ,          -0.3,     0.9507744, , 
            0,     0.3332228, ,             0,     -0.233734, ,          -0.2,    -0.7604455, ,           0.2,     0.7435267, ,          -0.2,     0.9681901, , 
          0.1,     0.3432877, ,           0.1,    -0.2238139, ,          -0.1,    -0.7454707, ,           0.3,     0.7615705, ,          -0.1,     0.9872805, , 
          0.2,      0.353803, ,           0.2,    -0.2147644, ,           0.2,     -0.729111, ,           0.4,     0.7805213, ,             0,      1.007877, , 
          0.3,     0.3627017, ,           0.3,    -0.2085723, ,           0.3,    -0.7198367, ,           0.6,     0.7863356, ,           0.1,      1.029486, , 
          0.4,     0.3721224, ,           0.4,    -0.2012672, ,           0.4,    -0.7103279, ,           0.7,     0.7995917, ,           0.2,       1.05163, , 
          0.5,     0.3820601, ,           0.5,    -0.1946159, ,           0.5,    -0.7005737, ,           0.8,     0.8173432, ,           0.3,     0.9757024, , 
          0.6,     0.3924049, ,           0.6,    -0.1940449, ,           0.6,    -0.6904701, ,           0.9,     0.8367306, ,           0.4,     0.9882287, , 
          0.7,      0.402513, ,           1.1,    0.02615623, ,           0.8,    -0.6170493, ,           1.2,     0.8290131, ,           0.5,      1.003371, , 
          0.8,     0.4120998, ,           1.2,    0.03593459, ,           0.9,    -0.5963875, ,           1.3,     0.8483807, ,           0.6,      1.020778, , 
          0.9,      0.422085, ,           1.3,    0.04567918, ,             1,    -0.5753899, ,           1.4,     0.8709761, ,           0.7,      1.040606, , 
            1,     0.4323609, ,           1.4,    0.05539319, ,           1.1,    -0.5520684, ,           1.5,     0.8974088, ,           0.8,       1.06078, , 
          1.1,     0.4428973, ,           1.5,    0.06609715, ,           1.2,    -0.5339632, ,           1.6,     0.9251397, ,           0.9,      1.083261, , 
          1.2,     0.4527678, ,           1.6,    0.07678495, ,           1.3,      -0.51971, ,           1.7,     0.9616258, ,             1,      1.111771, , 
          1.3,     0.4628731, ,           1.7,    0.08719373, ,           1.4,    -0.5069618, ,           1.8,     0.9954249, ,           1.1,      1.135596, , 
          1.4,     0.4731621, ,           1.8,    0.09738341, ,           1.5,    -0.4937994, ,           1.9,      1.013831, ,           1.2,      1.161108, , 
          1.5,     0.4835876, ,           1.9,     0.1074003, ,           1.6,    -0.4796203, ,             2,      1.025779, ,           1.3,      1.182604, , 
          1.6,     0.4938762, ,             2,     0.1172938, ,           1.7,    -0.4659932, ,           2.1,      1.036278, ,           1.4,      1.198633, , 
          1.7,     0.5039991, ,           2.1,     0.1271116, ,           1.8,     -0.453021, ,           2.2,      1.045502, ,           1.5,       1.21238, , 
          1.8,      0.514211, ,           2.2,     0.1368429, ,           1.9,    -0.4408298, ,           2.3,      1.054575, ,           1.6,      1.221631, , 
          1.9,     0.5245179, ,           2.3,     0.1466433, ,             2,    -0.4293371, ,           2.4,      1.063013, ,           1.7,      1.230967, , 
            2,     0.5348699, ,           2.4,     0.1574826, ,           2.1,    -0.4175299, ,           2.6,       1.07969, ,           1.8,      1.238895, , 
          2.1,     0.5451101, ,           2.5,     0.1681282, ,           2.2,     -0.403299, ,           2.7,      1.087649, ,           1.9,      1.246938, , 
          2.2,     0.5553717, ,           2.6,     0.1785634, ,           2.3,    -0.3950049, ,           2.8,      1.095725, ,             2,      1.255112, , 
          2.3,     0.5656441, ,           2.7,     0.1888561, ,             3,     -0.127081, ,           2.9,      1.104042, ,           2.1,      1.263159, , 
          2.4,     0.5759296, ,           2.8,      0.199032, ,           3.1,    -0.1168163, ,             3,      1.111691, ,           2.2,      1.271263, , 
          2.5,     0.5862174, ,           2.9,     0.2090548, ,           3.2,     -0.106861, ,           3.1,      1.119863, ,           2.3,      1.279446, , 
          2.6,     0.5964115, ,             3,     0.2190065, ,           3.3,   -0.09716118, ,           3.2,      1.128243, ,           2.4,      1.286965, , 
          2.7,     0.6065503, ,           3.1,     0.2292047, ,           3.4,   -0.08764262, ,           3.3,       1.13601, ,           2.6,      1.303274, , 
          2.8,     0.6166538, ,           3.2,     0.2400433, ,           3.5,   -0.07820526, ,           3.4,      1.144199, ,           2.7,      1.310796, , 
          2.9,     0.6269849, ,           3.3,      0.250668, ,           3.6,    -0.0687914, ,           3.5,      1.152719, ,           2.8,       1.31899, , 
            3,     0.6371895, ,           3.4,       0.26111, ,           3.7,   -0.05928882, ,           3.6,      1.160249, ,           2.9,      1.326044, , 
          3.1,     0.6472944, ,           3.5,     0.2713639, ,           3.8,   -0.04933665, ,           3.7,      1.167707, ,             3,      1.333949, , 
          3.2,     0.6573297, ,           3.6,     0.2815179, ,           3.9,   -0.03810438, ,           3.8,      1.175945, ,           3.1,       1.34137, , 
          3.3,     0.6677531, ,           3.7,     0.2916703, ,             4,   -0.02706853, ,           3.9,      1.183086, ,           3.2,      1.348211, , 
          3.4,     0.6780418, ,           3.8,     0.3021763, ,           4.1,    -0.0163522, ,             4,      1.190133, ,           3.3,      1.356162, , 
          3.5,      0.688177, ,           3.9,     0.3129913, ,           4.2,  -0.005955524, ,           4.1,      1.198406, ,           3.4,      1.362896, , 
          3.6,     0.6981359, ,             4,     0.3236304, ,           4.3,   0.004180364, ,           4.2,      1.205463, ,           3.5,      1.371091, , 
          3.7,     0.7084516, ,           4.1,     0.3340714, ,           4.4,    0.01413419, ,           4.3,      1.212499, ,           3.6,      1.378888, , 
          3.8,      0.718692, ,           4.2,      0.344344, ,           4.5,    0.02391181, ,           4.4,      1.220613, ,           3.7,      1.385657, , 
          3.9,     0.7286921, ,           4.3,     0.3545379, ,           4.6,    0.03368686, ,           4.5,      1.227386, ,           3.8,      1.394341, , 
            4,      0.738466, ,           4.4,     0.3650119, ,           4.7,    0.04378136, ,           4.6,      1.234813, ,           3.9,      1.401633, , 
          4.1,      0.748735, ,           4.5,     0.3758037, ,           4.8,    0.05482276, ,           4.7,      1.242932, ,             4,      1.408629, , 
          4.2,     0.7589463, ,           4.6,     0.3864431, ,           4.9,    0.06587117, ,           4.8,      1.249103, ,           4.1,      1.416686, , 
          4.3,     0.7688738, ,           4.7,     0.3969085, ,             5,    0.07670939, ,           4.9,      1.257095, ,           4.2,      1.422806, , 
          4.4,     0.7784869, ,           4.8,     0.4072667, ,           5.1,    0.08729708, ,             5,      1.265151, ,           4.3,      1.430354, , 
          4.5,     0.7887302, ,           4.9,     0.4176205, ,           5.2,    0.09767008, ,           5.1,      1.271742, ,           4.4,      1.436432, , 
          4.6,     0.7988616, ,             5,     0.4283593, ,           5.3,     0.1078183, ,           5.2,      1.279325, ,           4.5,      1.443256, , 
          4.7,     0.8086898, ,           5.1,      0.439123, ,           5.4,     0.1179222, ,           5.3,      1.287232, ,           4.6,      1.448912, , 
          4.8,     0.8181551, ,           5.2,     0.4497526, ,           5.5,     0.1283021, ,           5.4,      1.293364, ,           4.7,      1.455877, , 
          4.9,     0.8284926, ,           5.3,     0.4602475, ,           5.6,     0.1393803, ,           5.5,      1.301056, ,           4.8,      1.461602, , 
            5,     0.8385307, ,           5.4,     0.4706547, ,           5.7,     0.1503595, ,           5.6,      1.308549, ,           4.9,      1.467862, , 
